epoch,train_avg_loss,train_avg_top1,train_avg_top5,alpha_videomae,alpha_timesformer,alpha_vivit,eval_top1,eval_top5
22,0.713,80.48,97.13,0.93,0.93,0.11857142857142858,44.64285714285714,70.78571428571428
23,0.685,81.67,97.43,0.9314285714285714,0.9314285714285714,0.11469387755102042,46.45204081632652,71.77551020408163
24,0.664,82.25,97.52,0.9328571428571428,0.9328571428571428,0.11081632653061226,48.261224489795914,72.76530612244898
25,0.653,82.4,97.49,0.9342857142857143,0.9342857142857143,0.10693877551020409,50.0704081632653,73.75510204081633
26,0.616,83.16,97.82,0.9357142857142857,0.9357142857142857,0.10306122448979593,51.87959183673469,74.74489795918367
27,0.595,83.77,97.99,0.9371428571428572,0.9371428571428572,0.09918367346938776,53.688775510204074,75.73469387755102
28,0.581,83.96,98.01,0.9385714285714286,0.9385714285714286,0.0953061224489796,55.497959183673466,76.72448979591837
29,0.568,84.31,97.95,0.94,0.94,0.09142857142857144,57.30714285714285,77.71428571428572
30,0.559,84.4,98.15,0.9414285714285714,0.9414285714285714,0.08755102040816327,59.11632653061224,78.70408163265306
31,0.557,84.49,98.04,0.9428571428571428,0.9428571428571428,0.0836734693877551,60.925510204081625,79.6938775510204
32,0.549,84.73,98.24,0.9442857142857143,0.9442857142857143,0.07979591836734695,62.73469387755102,80.68367346938776
33,0.525,85.22,98.21,0.9457142857142857,0.9457142857142857,0.07591836734693878,64.5438775510204,81.6734693877551
34,0.523,85.2,98.31,0.9471428571428572,0.9471428571428572,0.07204081632653062,66.35306122448979,82.66326530612244
35,0.508,85.53,98.34,0.9485714285714285,0.9485714285714285,0.06816326530612246,68.16224489795918,83.65306122448979
36,0.49,86.31,98.41,0.95,0.95,0.06428571428571431,69.97142857142856,84.64285714285714
37,0.489,86.17,98.45,0.9514285714285714,0.9514285714285714,0.060408163265306125,71.78061224489795,85.63265306122449
38,0.478,86.61,98.56,0.9528571428571428,0.9528571428571428,0.05653061224489797,73.58979591836734,86.62244897959184
39,0.482,86.58,98.42,0.9542857142857143,0.9542857142857143,0.05265306122448982,75.39897959183673,87.61224489795919
40,0.481,86.6,98.48,0.9557142857142857,0.9557142857142857,0.048775510204081635,77.20816326530613,88.60204081632654
41,0.486,86.34,98.54,0.9571428571428571,0.9571428571428571,0.04489795918367348,79.0173469387755,89.59183673469389
42,0.476,86.81,98.5,0.9585714285714285,0.9585714285714285,0.041020408163265326,80.8265306122449,90.58163265306123
43,0.463,86.68,98.64,0.96,0.96,0.037142857142857144,82.63571428571429,91.57142857142857
44,0.452,87.38,98.72,0.9614285714285714,0.9614285714285714,0.03326530612244899,84.44489795918368,92.56122448979592
45,0.452,87.37,98.72,0.9628571428571429,0.9628571428571429,0.029387755102040836,86.25408163265305,93.55102040816327
46,0.442,87.45,98.83,0.9642857142857143,0.9642857142857143,0.025510204081632654,88.06326530612245,94.5408163265306
47,0.434,87.79,98.81,0.9657142857142857,0.9657142857142857,0.0216326530612245,89.87244897959184,95.53061224489795
48,0.432,88.03,98.76,0.9671428571428571,0.9671428571428571,0.017755102040816345,91.68163265306123,96.5204081632653
49,0.417,88.29,98.88,0.9685714285714285,0.9685714285714285,0.013877551020408163,93.4908163265306,97.51020408163265
50,0.421,88.15,98.83,0.97,0.97,0.01,95.3,98.5
